date,/m/01cpyy
2020-09-02,47
2020-09-03,50
2020-09-04,39
2020-09-05,35
2020-09-06,40
2020-09-07,41
2020-09-08,28
2020-09-09,49
2020-09-10,40
2020-09-11,44
2020-09-12,61
2020-09-13,41
2020-09-14,45
2020-09-15,48
2020-09-16,47
2020-09-17,49
2020-09-18,61
2020-09-19,41
2020-09-20,45
2020-09-21,47
2020-09-22,37
2020-09-23,33
2020-09-24,33
2020-09-25,51
2020-09-26,41
2020-09-27,54
2020-09-28,35
2020-09-29,27
2020-09-30,35
2020-10-01,38
2020-10-02,45
2020-10-03,41
2020-10-04,44
2020-10-05,29
2020-10-06,53
2020-10-07,44
2020-10-08,64
2020-10-09,54
2020-10-10,69
2020-10-11,69
2020-10-12,61
2020-10-13,66
2020-10-14,83
2020-10-15,68
2020-10-16,83
2020-10-17,100
2020-10-18,70
2020-10-19,59
2020-10-20,48
2020-10-21,84
2020-10-22,65
2020-10-23,60
2020-10-24,57
2020-10-25,66
2020-10-26,72
2020-10-27,76
2020-10-28,68
2020-10-29,70
2020-10-30,69
2020-10-31,67
2020-11-01,56
2020-11-02,44
2020-11-03,40
2020-11-04,39
2020-11-05,41
2020-11-06,48
2020-11-07,40
2020-11-08,28
2020-11-09,37
2020-11-10,30
2020-11-11,52
2020-11-12,49
2020-11-13,58
2020-11-14,39
2020-11-15,28
2020-11-16,40
2020-11-17,28
2020-11-18,30
2020-11-19,32
2020-11-20,33
2020-11-21,31
2020-11-22,32
2020-11-23,29
2020-11-24,25
2020-11-25,37
2020-11-26,39
2020-11-27,42
2020-11-28,38
2020-11-29,40
2020-11-30,25
2020-12-01,26
2020-12-02,37
2020-12-03,26
2020-12-04,23
2020-12-05,40
2020-12-06,29
2020-12-07,30
2020-12-08,43
2020-12-09,33
2020-12-10,38
2020-12-11,35
2020-12-12,37
2020-12-13,33
2020-12-14,31
2020-12-15,30
2020-12-16,37
2020-12-17,34
2020-12-18,26
2020-12-19,35
2020-12-20,28
2020-12-21,31
2020-12-22,32
2020-12-23,33
2020-12-24,18
2020-12-25,40
2020-12-26,33
2020-12-27,28
2020-12-28,31
2020-12-29,22
2020-12-30,22
